Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
403.gcc-16B,nopref,0.37795,10172565,4861853,2300444,3010268,1
403.gcc-16B,spp,0.48323,9650368,2397866,2240121,2111972,1
403.gcc-16B,bingo,0.59126,13901432,991995,1994092,2356811,1
403.gcc-16B,mlop,0.54099,11102843,1515744,2034998,2061245,1
403.gcc-16B,pythia,0.55212,11758463,1461217,1960502,3028554,1
410.bwaves-1963B,nopref,0.57958,9619039,9028481,220227,370331,1
410.bwaves-1963B,spp,1.11796,9485768,341531,220226,220568,1
410.bwaves-1963B,bingo,0.99482,9615504,1197723,220227,381597,1
410.bwaves-1963B,mlop,1.13953,9524139,413464,220225,381964,1
410.bwaves-1963B,pythia,1.16512,9619015,179223,220227,370193,1
429.mcf-184B,nopref,0.08238,28484259,25913194,275582,2295483,1
429.mcf-184B,spp,0.08095,31076252,26743364,321236,2203998,1
429.mcf-184B,bingo,0.06716,209240785,27725113,150983,1775351,1
429.mcf-184B,mlop,0.09486,61250191,20561883,410406,2953803,1
429.mcf-184B,pythia,0.10395,42955043,17032896,354365,1558052,1
429.mcf-192B,nopref,0.06807,26692155,26684500,716,6939,1
429.mcf-192B,spp,0.06806,26712431,26690127,702,6596,1
429.mcf-192B,bingo,0.04671,293583173,40895981,1618,17577,1
429.mcf-192B,mlop,0.09996,45629008,13009234,1506,7411,1
429.mcf-192B,pythia,0.10689,41234461,9786188,1229,5177,1
429.mcf-51B,nopref,0.10178,27842372,23955028,381499,3505845,1
429.mcf-51B,spp,0.09962,30515140,24681574,471049,3298441,1
429.mcf-51B,bingo,0.08748,180601622,21940931,371880,3681016,1
429.mcf-51B,mlop,0.10661,57149397,21732821,644019,4549736,1
429.mcf-51B,pythia,0.11366,39748730,19479308,564076,2587258,1
433.milc-127B,nopref,0.42793,12905786,8321697,1600047,2984042,1
433.milc-127B,spp,0.61024,13031701,3274986,1593948,1865744,1
433.milc-127B,bingo,0.59618,12916034,4090682,1594684,2975567,1
433.milc-127B,mlop,0.58575,26829551,2697041,1596816,2350452,1
433.milc-127B,pythia,0.63143,13089090,3025654,1600042,2982819,1
436.cactusADM-1804B,nopref,0.3697,2428738,1324185,604673,499880,1
436.cactusADM-1804B,spp,0.3972,3260833,79139,734795,691508,1
436.cactusADM-1804B,bingo,0.40128,2435925,54361,605072,488898,1
436.cactusADM-1804B,mlop,0.38611,3030717,382076,677320,615157,1
436.cactusADM-1804B,pythia,0.40097,2423359,54455,603565,493781,1
437.leslie3d-149B,nopref,0.60311,4259093,2507934,962661,788498,1
437.leslie3d-149B,spp,1.08768,4360383,81372,985246,747191,1
437.leslie3d-149B,bingo,1.05946,4292590,200537,949390,776831,1
437.leslie3d-149B,mlop,0.99363,4248055,198118,956809,760347,1
437.leslie3d-149B,pythia,1.1296,4298208,76949,952756,792112,1
437.leslie3d-232B,nopref,0.5913,4427748,2615091,900041,912616,1
437.leslie3d-232B,spp,1.05265,4265804,87612,894854,709998,1
437.leslie3d-232B,bingo,1.03157,4455328,233041,890160,861601,1
437.leslie3d-232B,mlop,1.00397,4355196,151627,890278,768802,1
437.leslie3d-232B,pythia,1.09637,4423899,88344,891604,840929,1
437.leslie3d-265B,nopref,0.62022,3883294,2505457,685463,692374,1
437.leslie3d-265B,spp,1.06506,3963043,68826,744254,571198,1
437.leslie3d-265B,bingo,1.0471,3873456,189692,682202,649005,1
437.leslie3d-265B,mlop,1.00782,3943702,152065,702713,608992,1
437.leslie3d-265B,pythia,1.11704,3865543,46279,683648,648805,1
437.leslie3d-271B,nopref,0.60162,3883397,2506802,712798,663797,1
437.leslie3d-271B,spp,1.07741,4020918,68971,776472,583366,1
437.leslie3d-271B,bingo,1.05627,3890640,170991,709924,637459,1
437.leslie3d-271B,mlop,1.00674,3880033,161480,726008,607667,1
437.leslie3d-271B,pythia,1.12752,3889461,41982,711193,660857,1
445.gobmk-30B,nopref,0.37578,1556312,122595,753363,680354,1
445.gobmk-30B,spp,0.37704,1570136,92925,753350,671439,1
445.gobmk-30B,bingo,0.37868,1956010,79212,750451,684222,1
445.gobmk-30B,mlop,0.37749,1673573,78192,751967,678722,1
445.gobmk-30B,pythia,0.37862,1624597,71546,745648,673379,1
445.gobmk-36B,nopref,0.37997,1615516,163676,747980,703860,1
445.gobmk-36B,spp,0.38122,1624794,131676,749753,687926,1
445.gobmk-36B,bingo,0.38281,2016779,112919,739672,696508,1
445.gobmk-36B,mlop,0.38189,1965977,117627,744487,705597,1
445.gobmk-36B,pythia,0.38268,1709662,112331,741809,692991,1
450.soplex-247B,nopref,0.28131,15098224,11108916,2477996,1511312,1
450.soplex-247B,spp,0.33427,19429248,7664109,2565071,2180851,1
450.soplex-247B,bingo,0.37206,28061510,3307663,2734373,1358325,1
450.soplex-247B,mlop,0.33203,23327447,5621341,2635469,1744836,1
450.soplex-247B,pythia,0.39374,19615775,3578231,2587858,1854529,1
459.GemsFDTD-1211B,nopref,0.48018,4983052,3229096,17,1753939,1
459.GemsFDTD-1211B,spp,0.66235,3451465,257147,11,5633,1
459.GemsFDTD-1211B,bingo,0.65893,5212676,357165,17,1564555,1
459.GemsFDTD-1211B,mlop,0.68258,3773050,147741,16,117559,1
459.GemsFDTD-1211B,pythia,0.68152,5448214,262039,15,1748561,1
459.GemsFDTD-1418B,nopref,0.51512,3776430,3184717,20115,571598,1
459.GemsFDTD-1418B,spp,0.59889,4464852,1477643,26377,100372,1
459.GemsFDTD-1418B,bingo,0.57892,4081961,1795967,20341,632511,1
459.GemsFDTD-1418B,mlop,0.63106,4533792,1137974,21600,136409,1
459.GemsFDTD-1418B,pythia,0.61244,4587893,1248170,21917,616018,1
459.GemsFDTD-765B,nopref,0.5122,5024835,3288024,29,1736782,1
459.GemsFDTD-765B,spp,0.7055,3526269,278446,26,3036,1
459.GemsFDTD-765B,bingo,0.68792,5367361,435082,27,1540399,1
459.GemsFDTD-765B,mlop,0.72077,3935240,177676,30,140495,1
459.GemsFDTD-765B,pythia,0.71893,5554975,317160,21,1719098,1
462.libquantum-1343B,nopref,0.349,17710372,12693461,71,5016840,1
462.libquantum-1343B,spp,0.62953,12742790,994290,95,5850,1
462.libquantum-1343B,bingo,0.72432,17710550,596388,71,5016888,1
462.libquantum-1343B,mlop,0.72938,17711579,323226,71,5016842,1
462.libquantum-1343B,pythia,0.64728,17710438,492324,71,5016828,1
462.libquantum-714B,nopref,0.33606,20692027,12685981,52,8005994,1
462.libquantum-714B,spp,0.59718,12996039,1221787,97,11192,1
462.libquantum-714B,bingo,0.67644,20718076,639621,52,8031340,1
462.libquantum-714B,mlop,0.67837,20722970,357123,52,8035948,1
462.libquantum-714B,pythia,0.60599,20692112,547958,52,8005994,1
470.lbm-1274B,nopref,0.46547,25086475,3704883,10871956,10509636,1
470.lbm-1274B,spp,0.62967,25560840,336990,11111924,10743187,1
470.lbm-1274B,bingo,0.65141,25051944,150209,10869501,10477568,1
470.lbm-1274B,mlop,0.63154,25499228,175216,11089165,10704971,1
470.lbm-1274B,pythia,0.62699,25053639,239740,10869363,10479298,1
471.omnetpp-188B,nopref,0.25115,9561987,6919052,1109430,1533505,1
471.omnetpp-188B,spp,0.26506,10408306,5754716,1173257,894493,1
471.omnetpp-188B,bingo,0.29373,16134579,3859682,1067575,1209033,1
471.omnetpp-188B,mlop,0.26666,15440190,5612248,977418,1432037,1
471.omnetpp-188B,pythia,0.27778,13488026,4826063,984611,1678225,1
473.astar-359B,nopref,0.12383,26921359,9462865,7600563,9857931,1
473.astar-359B,spp,0.12583,30538790,8151747,8727576,10263226,1
473.astar-359B,bingo,0.13972,55324687,5702702,9258408,11467207,1
473.astar-359B,mlop,0.13519,37171274,6216117,8990570,11949239,1
473.astar-359B,pythia,0.13882,33708608,5815253,8578100,10550323,1
481.wrf-1254B,nopref,0.65707,2374959,1303994,474670,596295,1
481.wrf-1254B,spp,0.86523,2543635,56969,502831,457086,1
481.wrf-1254B,bingo,0.87072,2435312,65241,476296,597885,1
481.wrf-1254B,mlop,0.872,2582085,66026,500132,517645,1
481.wrf-1254B,pythia,0.87476,2415312,33430,474399,599904,1
481.wrf-196B,nopref,0.66903,2883132,2403873,31850,447409,1
481.wrf-196B,spp,1.19436,2536891,98234,31974,22517,1
481.wrf-196B,bingo,1.17802,2942390,189745,31301,506358,1
481.wrf-196B,mlop,1.23962,2634229,61675,31826,99415,1
481.wrf-196B,pythia,1.24218,2922241,54464,31677,447782,1
481.wrf-816B,nopref,0.66317,4433911,3034463,581024,818424,1
481.wrf-816B,spp,1.19015,4159370,163756,579792,441577,1
481.wrf-816B,bingo,1.16193,4713265,319036,578731,936698,1
481.wrf-816B,mlop,1.22982,4454205,138472,575284,642250,1
481.wrf-816B,pythia,1.21207,4568903,164969,580328,828331,1
482.sphinx3-1297B,nopref,0.75388,2738379,2695470,21195,21714,1
482.sphinx3-1297B,spp,0.92162,6399133,1306861,387996,325181,1
482.sphinx3-1297B,bingo,1.07973,5505970,495669,56513,50815,1
482.sphinx3-1297B,mlop,0.9421,4898063,1208685,207728,162891,1
482.sphinx3-1297B,pythia,1.11631,4326189,483036,18110,18368,1
482.sphinx3-1395B,nopref,0.81602,2065733,1993364,33098,39271,1
482.sphinx3-1395B,spp,0.99699,5649940,1053295,381573,292627,1
482.sphinx3-1395B,bingo,1.1527,4571774,426683,65894,53048,1
482.sphinx3-1395B,mlop,0.97552,4019434,1142071,165539,125134,1
482.sphinx3-1395B,pythia,1.14594,3217387,544448,27534,35688,1
483.xalancbmk-127B,nopref,0.28914,10302379,10250385,29608,22386,1
483.xalancbmk-127B,spp,0.29134,11980374,10810354,29557,20054,1
483.xalancbmk-127B,bingo,0.34423,40572845,5100391,42546,51370,1
483.xalancbmk-127B,mlop,0.32893,23000705,7487483,35844,31009,1
483.xalancbmk-127B,pythia,0.34449,16967489,6618443,27530,21327,1
602.gcc_s-1850B,nopref,0.23882,8898189,8881542,4222,12425,1
602.gcc_s-1850B,spp,0.35863,8995174,293338,1658,2954,1
602.gcc_s-1850B,bingo,0.37838,9321899,321442,1769,4758,1
602.gcc_s-1850B,mlop,0.38326,9187314,172856,68,2988,1
602.gcc_s-1850B,pythia,0.37761,8981173,210483,93,11249,1
602.gcc_s-734B,nopref,0.36136,3749660,3720456,4033,25171,1
602.gcc_s-734B,spp,0.4229,4372442,237591,5056,13825,1
602.gcc_s-734B,bingo,0.4297,4408185,196630,5044,27945,1
602.gcc_s-734B,mlop,0.43127,4999861,144184,4203,15176,1
602.gcc_s-734B,pythia,0.43,3926380,273203,4217,24373,1
603.bwaves_s-2931B,nopref,0.63119,9726739,3839720,2976918,2910101,1
603.bwaves_s-2931B,spp,1.31191,9729587,103320,2976918,2912849,1
603.bwaves_s-2931B,bingo,1.20843,10506586,247535,2976918,2940633,1
603.bwaves_s-2931B,mlop,1.27617,9929825,145984,2976916,2923723,1
603.bwaves_s-2931B,pythia,1.38804,9741862,66673,2976918,2912846,1
605.mcf_s-994B,nopref,0.19224,11705510,11122456,2547,580507,1
605.mcf_s-994B,spp,0.19871,13029565,10358140,3022,632,1
605.mcf_s-994B,bingo,0.19167,78154403,7402089,9106,792997,1
605.mcf_s-994B,mlop,0.19304,16181522,10776133,3926,479530,1
605.mcf_s-994B,pythia,0.2004,20388106,8474049,2205,614763,1
607.cactuBSSN_s-2421B,nopref,0.88831,3852531,3851215,578,738,1
607.cactuBSSN_s-2421B,spp,1.15983,4009095,567983,196,1193,1
