Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Filter
403.gcc-16B_4T,nopref,1.37814,1.37828,1.37819,1.37828,1
403.gcc-16B_4T,spp,1.38186,1.3825,1.38184,1.38251,1
403.gcc-16B_4T,bingo,1.39624,1.3982,1.39639,1.39817,1
403.gcc-16B_4T,mlop,1.39153,1.39346,1.39243,1.39346,1
403.gcc-16B_4T,pythia,1.39337,1.39548,1.39336,1.39547,1
410.bwaves-1963B_4T,nopref,0.5874,0.58642,0.58687,0.5862,1
410.bwaves-1963B_4T,spp,1.09439,1.09518,1.09421,1.09443,1
410.bwaves-1963B_4T,bingo,0.988,0.98839,0.98779,0.98741,1
410.bwaves-1963B_4T,mlop,1.12403,1.12418,1.12483,1.12434,1
410.bwaves-1963B_4T,pythia,1.15085,1.15097,1.15132,1.15112,1
429.mcf-184B_4T,nopref,0.08794,0.08794,0.08796,0.08794,1
429.mcf-184B_4T,spp,0.08423,0.08422,0.08421,0.08421,1
429.mcf-184B_4T,bingo,0.0486,0.04815,0.04754,0.04831,1
429.mcf-184B_4T,mlop,0.07949,0.07825,0.07997,0.07864,1
429.mcf-184B_4T,pythia,0.08496,0.08496,0.08496,0.08518,1
429.mcf-192B_4T,nopref,0.08362,0.08362,0.08361,0.08363,1
429.mcf-192B_4T,spp,0.08351,0.08353,0.08351,0.08353,1
429.mcf-192B_4T,bingo,0.03852,0.03822,0.03814,0.03816,1
429.mcf-192B_4T,mlop,0.0879,0.08829,0.0878,0.08802,1
429.mcf-192B_4T,pythia,0.08637,0.08633,0.08633,0.08636,1
429.mcf-51B_4T,nopref,0.10596,0.10596,0.10584,0.10499,1
429.mcf-51B_4T,spp,0.10234,0.10249,0.10143,0.10178,1
429.mcf-51B_4T,bingo,0.05799,0.05804,0.05818,0.05779,1
429.mcf-51B_4T,mlop,0.0921,0.09204,0.09123,0.09113,1
429.mcf-51B_4T,pythia,0.10135,0.10131,0.10059,0.10131,1
433.milc-127B_4T,nopref,0.26385,0.26552,0.26381,0.26553,1
433.milc-127B_4T,spp,0.30594,0.28987,0.32546,0.29464,1
433.milc-127B_4T,bingo,0.28286,0.28276,0.2845,0.28388,1
433.milc-127B_4T,mlop,0.29555,0.29571,0.297,0.29451,1
433.milc-127B_4T,pythia,0.34407,0.35111,0.34379,0.35106,1
436.cactusADM-1804B_4T,nopref,0.3645,0.36441,0.36475,0.36451,1
436.cactusADM-1804B_4T,spp,0.39292,0.39291,0.39313,0.393,1
436.cactusADM-1804B_4T,bingo,0.39224,0.39236,0.39211,0.3924,1
436.cactusADM-1804B_4T,mlop,0.38089,0.38109,0.38098,0.38047,1
436.cactusADM-1804B_4T,pythia,0.39697,0.39698,0.39711,0.3972,1
437.leslie3d-149B_4T,nopref,0.49763,0.4975,0.49715,0.49714,1
437.leslie3d-149B_4T,spp,0.92594,0.92588,0.92656,0.9225,1
437.leslie3d-149B_4T,bingo,0.93755,0.94093,0.93783,0.94155,1
437.leslie3d-149B_4T,mlop,0.93956,0.94011,0.9397,0.93959,1
437.leslie3d-149B_4T,pythia,0.91205,0.9151,0.91471,0.91515,1
437.leslie3d-232B_4T,nopref,0.52014,0.5194,0.52021,0.51891,1
437.leslie3d-232B_4T,spp,1.0053,1.00495,1.00545,1.00453,1
437.leslie3d-232B_4T,bingo,0.98022,0.97769,0.98,0.98132,1
437.leslie3d-232B_4T,mlop,0.92529,0.92005,0.91995,0.92164,1
437.leslie3d-232B_4T,pythia,1.03298,1.03367,1.03198,1.03394,1
437.leslie3d-265B_4T,nopref,0.59183,0.59162,0.59269,0.59169,1
437.leslie3d-265B_4T,spp,1.1048,1.10386,1.10479,1.10516,1
437.leslie3d-265B_4T,bingo,1.08926,1.0903,1.09068,1.08762,1
437.leslie3d-265B_4T,mlop,1.08709,1.08702,1.08458,1.08586,1
437.leslie3d-265B_4T,pythia,1.12226,1.12308,1.12164,1.12309,1
437.leslie3d-271B_4T,nopref,0.51049,0.51011,0.51011,0.51002,1
437.leslie3d-271B_4T,spp,1.06272,1.06386,1.06182,1.06362,1
437.leslie3d-271B_4T,bingo,1.0289,1.03094,1.02623,1.02916,1
437.leslie3d-271B_4T,mlop,0.9405,0.93589,0.93959,0.93327,1
437.leslie3d-271B_4T,pythia,1.06531,1.06507,1.06587,1.06281,1
445.gobmk-30B_4T,nopref,0.34761,0.34762,0.34776,0.34803,1
445.gobmk-30B_4T,spp,0.34907,0.34895,0.34859,0.34863,1
445.gobmk-30B_4T,bingo,0.34985,0.35022,0.3503,0.34985,1
445.gobmk-30B_4T,mlop,0.3492,0.34921,0.34961,0.34947,1
445.gobmk-30B_4T,pythia,0.34983,0.3497,0.34951,0.3495,1
445.gobmk-36B_4T,nopref,0.37324,0.37324,0.37323,0.37324,1
445.gobmk-36B_4T,spp,0.37481,0.37481,0.37481,0.37481,1
445.gobmk-36B_4T,bingo,0.37647,0.37647,0.37647,0.37647,1
445.gobmk-36B_4T,mlop,0.37539,0.37539,0.37538,0.37538,1
445.gobmk-36B_4T,pythia,0.37656,0.37656,0.37656,0.37656,1
450.soplex-247B_4T,nopref,0.22192,0.22173,0.22177,0.22189,1
450.soplex-247B_4T,spp,0.24794,0.24785,0.24795,0.24802,1
450.soplex-247B_4T,bingo,0.2596,0.25924,0.25935,0.26673,1
450.soplex-247B_4T,mlop,0.23795,0.23787,0.23779,0.23789,1
450.soplex-247B_4T,pythia,0.28662,0.28645,0.28546,0.28635,1
