Trace	CAT
403.gcc-16B	SPEC06
410.bwaves-1963B	SPEC06
429.mcf-184B	SPEC06
429.mcf-192B	SPEC06
429.mcf-51B	SPEC06
433.milc-127B	SPEC06
436.cactusADM-1804B	SPEC06
437.leslie3d-149B	SPEC06
437.leslie3d-232B	SPEC06
437.leslie3d-265B	SPEC06
437.leslie3d-271B	SPEC06
445.gobmk-30B	SPEC06
445.gobmk-36B	SPEC06
450.soplex-247B	SPEC06
459.GemsFDTD-1211B	SPEC06
459.GemsFDTD-1418B	SPEC06
459.GemsFDTD-765B	SPEC06
462.libquantum-1343B	SPEC06
462.libquantum-714B	SPEC06
470.lbm-1274B	SPEC06
471.omnetpp-188B	SPEC06
473.astar-359B	SPEC06
481.wrf-1254B	SPEC06
481.wrf-196B	SPEC06
481.wrf-816B	SPEC06
482.sphinx3-1297B	SPEC06
482.sphinx3-1395B	SPEC06
483.xalancbmk-127B	SPEC06
602.gcc_s-1850B	SPEC17
602.gcc_s-734B	SPEC17
603.bwaves_s-2931B	SPEC17
605.mcf_s-994B	SPEC17
607.cactuBSSN_s-2421B	SPEC17
619.lbm_s-2677B	SPEC17
619.lbm_s-3766B	SPEC17
619.lbm_s-4268B	SPEC17
620.omnetpp_s-141B	SPEC17
620.omnetpp_s-874B	SPEC17
621.wrf_s-6673B	SPEC17
621.wrf_s-8065B	SPEC17
623.xalancbmk_s-10B	SPEC17
623.xalancbmk_s-592B	SPEC17
627.cam4_s-573B	SPEC17
628.pop2_s-17B	SPEC17
649.fotonik3d_s-10881B	SPEC17
654.roms_s-1007B	SPEC17
cassandra_phase0_core0	Cloudsuite
cassandra_phase0_core1	Cloudsuite
cassandra_phase0_core2	Cloudsuite
cassandra_phase0_core3	Cloudsuite
cassandra_phase1_core0	Cloudsuite
cassandra_phase1_core1	Cloudsuite
cassandra_phase1_core2	Cloudsuite
cassandra_phase1_core3	Cloudsuite
cassandra_phase2_core1	Cloudsuite
cassandra_phase2_core2	Cloudsuite
cassandra_phase2_core3	Cloudsuite
cassandra_phase3_core1	Cloudsuite
cassandra_phase3_core3	Cloudsuite
cassandra_phase4_core0	Cloudsuite
cassandra_phase4_core2	Cloudsuite
cassandra_phase4_core3	Cloudsuite
cassandra_phase5_core0	Cloudsuite
cassandra_phase5_core1	Cloudsuite
cassandra_phase5_core2	Cloudsuite
cassandra_phase5_core3	Cloudsuite
cloud9_phase5_core2	Cloudsuite
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M	Ligra
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M	Ligra
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M	Ligra
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_1750M.length_250M	Ligra
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_4000M.length_250M	Ligra
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_7500M.length_250M	Ligra
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_23000M.length_250M	Ligra
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M	Ligra
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M	Ligra
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M	Ligra
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M	Ligra
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M	Ligra
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M	Ligra
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M	Ligra
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M	Ligra
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M	Ligra
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M	Ligra
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M	Ligra
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M	Ligra
ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M	Ligra
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_22750M.length_250M	Ligra
